Date,India(INR)
31-12-2008,42374.2
30-01-2009,44945.2
27-02-2009,48685.3
31-03-2009,46498.6
30-04-2009,44193.4
29-05-2009,45960.7
30-06-2009,44767.2
31-07-2009,45025.1
31-08-2009,46652.3
30-09-2009,47900.6
30-10-2009,48843.6
30-11-2009,54690
31-12-2009,50606.8
29-01-2010,49794.3
26-02-2010,51095.9
31-03-2010,50080.4
30-04-2010,52311.5
31-05-2010,55985.7
30-06-2010,57777.6
30-07-2010,54247.4
31-08-2010,58611.8
30-09-2010,58730
29-10-2010,59829.4
30-11-2010,63481.9
31-12-2010,62846.9
31-01-2011,60922.6
28-02-2011,63868.9
31-03-2011,64172.2
29-04-2011,67892.1
31-05-2011,69211.6
30-06-2011,67299.6
29-07-2011,71963.4
31-08-2011,83511.7
30-09-2011,79339.5
31-10-2011,83852.8
30-11-2011,91149.9
30-12-2011,81303.8
31-01-2012,86232.1
29-02-2012,86747.7
30-03-2012,84696.1
30-04-2012,87020.9
31-05-2012,87493.4
29-06-2012,89252.2
31-07-2012,90207.5
31-08-2012,91697.8
28-09-2012,93675.1
31-10-2012,92473.6
30-11-2012,93885.8
31-12-2012,90814.4
31-01-2013,88548
28-02-2013,86422.3
29-03-2013,86864.9
30-04-2013,79142.4
31-05-2013,78768.3
28-06-2013,70834.6
31-07-2013,79928.2
30-08-2013,92151.1
30-09-2013,83045.5
31-10-2013,81366.4
29-11-2013,78300
31-12-2013,74504.3
31-01-2014,78381.4
28-02-2014,82216.5
31-03-2014,77146.5
30-04-2014,77715.9
30-05-2014,73892
30-06-2014,79090.7
31-07-2014,77786.5
29-08-2014,78019.3
30-09-2014,75131
31-10-2014,71484.9
28-11-2014,73395.5
31-12-2014,76125.7
30-01-2015,78053.6
27-02-2015,75031.3
31-03-2015,74283.9
30-04-2015,74963.6
29-05-2015,76090.2
30-06-2015,74569.3
31-07-2015,70427.4
31-08-2015,75449.1
30-09-2015,73123
30-10-2015,74646.8
30-11-2015,70780.9
31-12-2015,70125.6
29-01-2016,75466.2
29-02-2016,84498
31-03-2016,81917.2
29-04-2016,85277.1
31-05-2016,81556.1
30-06-2016,89144
29-07-2016,89893.9
31-08-2016,87680.5
30-09-2016,88052
31-10-2016,84952.4
30-11-2016,80639.7
30-12-2016,77772.2
31-01-2017,82282.4
28-02-2017,83772.1
31-03-2017,80834.3
28-04-2017,81470.7
31-05-2017,81695.2
30-06-2017,80295.9
31-07-2017,81314.9
31-08-2017,83855.2
29-09-2017,83812.1
31-10-2017,82269.2
30-11-2017,82547.3
29-12-2017,82401.3
31-01-2018,85550.2
28-02-2018,85853
30-03-2018,86343.7
30-04-2018,87643
31-05-2018,88088.3
29-06-2018,85674.6
31-07-2018,83740.4
31-08-2018,85285.3
28-09-2018,86063.7
31-10-2018,89839.5
30-11-2018,84857.1
31-12-2018,89293.4
31-01-2019,94109.5
28-02-2019,93826.2
29-03-2019,89738.8
30-04-2019,89188.8
31-05-2019,90288.5
28-06-2019,97259.7
31-07-2019,98194
30-08-2019,109139.2
30-09-2019,105261.4
31-10-2019,107169.8
29-11-2019,104747.5
31-12-2019,108120
31-01-2020,113044.6
28-02-2020,116178.9
31-03-2020,121719.1
30-04-2020,127868
29-05-2020,130717.8
30-06-2020,133498.2
31-07-2020,146999.1
31-08-2020,144075.6
30-09-2020,139215.5
30-10-2020,139459.2
30-11-2020,130527.8
31-12-2020,137922.2
29-01-2021,135982.9
26-02-2021,128073.3
31-03-2021,123639
30-04-2021,130934.3
31-05-2021,137979.1
30-06-2021,131054.9
30-07-2021,135863.2